,X,Y
0,0.0,1.43
1,0.38,6.18
2,0.75,10.8
3,1.12,15.43
4,1.5,20.18
5,1.88,24.93
6,2.25,29.55
7,2.62,34.18
8,3.0,38.93
9,3.38,43.68
10,3.75,48.3
11,4.12,52.93
12,4.5,57.68
13,4.88,62.43
14,5.25,67.05
15,5.62,71.68
16,6.0,76.43
17,0.0,0.88
18,0.4,5.88
19,0.8,10.88
20,1.2,15.88
21,1.6,20.88
22,2.0,25.88
23,2.4,30.88
24,2.8,35.88
25,3.2,40.88
26,3.6,45.88
27,4.0,50.88
28,4.4,55.88
29,4.8,60.88
30,5.2,65.88
31,5.6,70.88
32,6.0,75.88
33,0.0,1.48
34,0.67,9.86
35,1.33,18.11
36,2.0,26.48
37,2.67,34.86
38,3.33,43.11
39,4.0,51.48
40,4.67,59.86
41,5.33,68.11
42,6.0,76.48
43,0.0,1.43
44,0.46,7.18
45,0.92,12.93
46,1.38,18.68
47,1.85,24.55
48,2.31,30.3
49,2.77,36.05
50,3.23,41.8
51,3.69,47.55
52,4.15,53.3
53,4.62,59.18
54,5.08,64.93
55,5.54,70.68
56,6.0,76.43
